seat_no,seat,booth,BRS,INC,BJP,AIMIM,others,valid_votes,nota,total_polled
61,Jubilee Hills,100,328,291,132,1,8,760,19,779
61,Jubilee Hills,101,158,140,74,2,4,378,2,380
61,Jubilee Hills,102,151,159,47,2,8,367,5,372
61,Jubilee Hills,103,201,144,92,0,2,439,7,446
61,Jubilee Hills,104,160,199,79,2,5,445,8,453
61,Jubilee Hills,105,213,214,109,3,8,547,4,551
61,Jubilee Hills,106,176,218,65,1,5,465,2,467
61,Jubilee Hills,107,145,151,63,0,3,362,3,365
61,Jubilee Hills,108,254,287,125,0,9,675,6,681
61,Jubilee Hills,109,155,145,80,0,5,385,4,389
61,Jubilee Hills,110,135,118,58,1,2,314,12,326
61,Jubilee Hills,111,183,205,107,0,5,500,2,502
61,Jubilee Hills,112,195,230,115,1,7,548,4,552
61,Jubilee Hills,113,187,172,64,1,8,432,5,437
61,Jubilee Hills,114,185,153,37,1,9,385,2,387
61,Jubilee Hills,115,165,151,64,0,12,392,5,397
61,Jubilee Hills,116,275,251,65,1,17,609,12,621
61,Jubilee Hills,117,305,280,84,9,7,685,6,691
61,Jubilee Hills,118,220,156,63,3,7,449,10,459
61,Jubilee Hills,119,177,103,59,1,9,349,1,350
61,Jubilee Hills,120,421,183,69,30,18,721,3,724
61,Jubilee Hills,121,97,122,48,1,4,272,2,274
61,Jubilee Hills,122,178,198,88,0,8,472,2,474
61,Jubilee Hills,123,195,213,108,3,5,524,7,531
61,Jubilee Hills,124,195,155,107,0,4,461,4,465
61,Jubilee Hills,125,154,152,61,2,4,373,5,378
61,Jubilee Hills,126,160,128,60,6,7,361,0,361
61,Jubilee Hills,127,155,166,65,7,8,401,3,404
61,Jubilee Hills,128,123,120,59,4,2,308,3,311
61,Jubilee Hills,129,299,216,137,3,7,662,4,666
61,Jubilee Hills,130,254,216,127,3,17,617,5,622
61,Jubilee Hills,131,144,143,67,0,10,364,4,368
61,Jubilee Hills,132,261,245,80,0,10,596,3,599
61,Jubilee Hills,133,282,243,79,8,12,624,7,631
61,Jubilee Hills,134,199,166,81,4,9,459,2,461
61,Jubilee Hills,135,202,126,70,2,8,408,5,413
61,Jubilee Hills,136,209,169,85,3,13,479,8,487
61,Jubilee Hills,137,247,144,59,19,11,480,4,484
61,Jubilee Hills,138,469,186,49,13,14,731,5,736
61,Jubilee Hills,139,174,134,40,8,7,363,6,369
61,Jubilee Hills,140,381,189,71,8,12,661,8,669
61,Jubilee Hills,141,417,195,84,22,20,738,1,739
61,Jubilee Hills,142,244,107,44,7,11,413,5,418
61,Jubilee Hills,143,290,123,23,14,12,462,2,464
61,Jubilee Hills,144,419,257,50,31,23,780,3,783
61,Jubilee Hills,145,217,124,37,33,6,417,3,420
61,Jubilee Hills,146,238,136,16,28,12,430,2,432
61,Jubilee Hills,147,363,270,83,3,13,732,2,734
61,Jubilee Hills,148,257,169,48,8,17,499,3,502
61,Jubilee Hills,148A,160,170,37,4,4,375,4,379
61,Jubilee Hills,149,247,185,67,4,19,522,3,525
61,Jubilee Hills,150,121,116,26,2,13,278,1,279
61,Jubilee Hills,151,329,205,19,28,22,603,2,605
