seat_no,seat,reservation,rank,candidate,sex,age,category,party,votes_general,votes_postal,votes_total,pct
1,Sirpur,GENERAL,1,Koneru Konappa,MALE,58,GENERAL,BSP,,,49033,32.41
1,Sirpur,GENERAL,2,Kaveti Sammaiah,MALE,57,GENERAL,BRS,,,40196,26.57
1,Sirpur,GENERAL,3,Kokkirala Prem Sagar Rao,MALE,50,GENERAL,INC,,,26955,17.82
1,Sirpur,GENERAL,4,Raavi Srinivas Rao,MALE,40,GENERAL,TDP,,,19359,12.8
1,Sirpur,GENERAL,5,M.D Razi Hyder.,MALE,59,GENERAL,MASP,,,4675,3.09
1,Sirpur,GENERAL,6,Mohammad Jabbar Khan.,MALE,50,GENERAL,IND,,,3769,2.49
1,Sirpur,GENERAL,7,Nota,,,,NOTA,,,1756,1.16
1,Sirpur,GENERAL,8,Durgam. Shyam Rao,MALE,57,SC,IND,,,1614,1.07
1,Sirpur,GENERAL,9,Murali Krishna.R.,MALE,38,GENERAL,IND,,,1263,0.83
1,Sirpur,GENERAL,10,M.Ramchander,MALE,54,SC,IND,,,933,0.62
1,Sirpur,GENERAL,11,Lendugure Mengaji Patel,MALE,62,GENERAL,BCUF,,,923,0.61
1,Sirpur,GENERAL,12,Shabbir Hussain,MALE,38,GENERAL,YSRCP,,,812,0.54
2,Chennur,SC,1,Nallala Odelu,MALE,50,SC,BRS,,,64867,50.79
2,Chennur,SC,2,Gaddam Vinod,MALE,57,SC,INC,,,38703,30.3
2,Chennur,SC,3,Ram Venu,MALE,39,SC,BJP,,,7879,6.17
2,Chennur,SC,4,Sogala Sanjeev,MALE,34,SC,RP(K),,,5711,4.47
2,Chennur,SC,5,Nota,,,,NOTA,,,1616,1.27
2,Chennur,SC,6,Thungapindi Ramesh,MALE,34,SC,BSP,,,1607,1.26
2,Chennur,SC,7,Seggam Rajeshwar,MALE,44,SC,IND,,,1415,1.11
2,Chennur,SC,8,Medapaka Sathish,MALE,29,SC,IND,,,1069,0.84
2,Chennur,SC,9,Thogari Banesh,MALE,39,SC,IND,,,1064,0.83
2,Chennur,SC,10,Mekala Prameela,FEMALE,47,SC,YSRCP,,,843,0.66
2,Chennur,SC,11,Andugula Srinivas,MALE,42,SC,IND,,,571,0.45
2,Chennur,SC,12,Moyya Rambabu,MALE,45,SC,IND,,,568,0.44
2,Chennur,SC,13,Rodda Mohan,MALE,33,SC,AAAP,,,536,0.42
2,Chennur,SC,14,Elpula Srinivas,MALE,37,SC,RLD,,,500,0.39
2,Chennur,SC,15,Ramagiri Vikram Singh,MALE,27,SC,NIP,,,404,0.32
2,Chennur,SC,16,Birudula Pradeep,MALE,29,SC,IND,,,368,0.29
3,Bellampalle,SC,1,Durgam Chinnaiah,MALE,43,SC,BRS,,,73779,61.76
3,Bellampalle,SC,2,Gunda Mallesh,MALE,67,SC,CPI,,,21251,17.79
3,Bellampalle,SC,3,Pati Subhadra,FEMALE,59,SC,TDP,,,9167,7.67
3,Bellampalle,SC,4,Badikela Sampath Kumar,MALE,51,SC,IND,,,2648,2.22
3,Bellampalle,SC,5,Jadi Shankaraiah,MALE,41,SC,IND,,,1940,1.62
3,Bellampalle,SC,6,Sabbani Krishna,MALE,51,SC,MCPI,,,1390,1.16
3,Bellampalle,SC,7,Erukala Raj Kiran,MALE,35,SC,YSRCP,,,1377,1.15
3,Bellampalle,SC,8,Chilumula Shankar,MALE,49,SC,IND,,,1257,1.05
3,Bellampalle,SC,9,Nota,,,,NOTA,,,781,0.65
3,Bellampalle,SC,10,Dandu Ravinder,MALE,45,SC,LSP,,,631,0.53
3,Bellampalle,SC,11,Maddala Srinivas,MALE,33,SC,IND,,,618,0.52
3,Bellampalle,SC,12,Gaddala Hymavathi,FEMALE,32,SC,IND,,,545,0.46
3,Bellampalle,SC,13,Mekala Venkatesham,MALE,44,SC,IND,,,518,0.43
3,Bellampalle,SC,14,Neerla Padma,FEMALE,34,SC,IND,,,517,0.43
3,Bellampalle,SC,15,Dubasi Prabhakar,MALE,29,SC,IND,,,516,0.43
3,Bellampalle,SC,16,Ambala Mahendar,MALE,43,SC,IND,,,503,0.42
3,Bellampalle,SC,17,Gandham Shankar,MALE,48,SC,IND,,,436,0.36
3,Bellampalle,SC,18,Bandari Srinivas,MALE,27,SC,AAAP,,,385,0.32
3,Bellampalle,SC,19,Bathula Madhu,MALE,35,SC,AIFB,,,366,0.31
3,Bellampalle,SC,20,Moguram Kannaiah,MALE,42,SC,IND,,,359,0.3
3,Bellampalle,SC,21,Rajalingu Chippakurthi,MALE,28,SC,IND,,,320,0.27
3,Bellampalle,SC,22,Rathnam Srikanth,MALE,27,SC,IND,,,150,0.13
4,Mancherial,GENERAL,1,Diwakar Rao Nadipelli,MALE,61,GENERAL,BRS,,,95171,61.62
4,Mancherial,GENERAL,2,Gaddam Aravinda Reddy,MALE,57,GENERAL,INC,,,35921,23.26
4,Mancherial,GENERAL,3,Mulkala Mallareddy,MALE,46,GENERAL,BJP,,,11584,7.5
4,Mancherial,GENERAL,4,Azmeera Lalkumar,MALE,36,ST,IND,,,5110,3.31
4,Mancherial,GENERAL,5,Nota,,,,NOTA,,,1482,0.96
4,Mancherial,GENERAL,6,Mittapalli Kiran Kumar,MALE,28,SC,PJDL,,,1206,0.78
4,Mancherial,GENERAL,7,Vemula Kiran,MALE,30,GENERAL,BSP,,,970,0.63
4,Mancherial,GENERAL,8,Syed Afzaluddin,MALE,37,GENERAL,YSRCP,,,813,0.53
4,Mancherial,GENERAL,9,Bakam Mallesh,MALE,34,GENERAL,IND,,,482,0.31
4,Mancherial,GENERAL,10,Nainala Venkateshwarlu,MALE,41,GENERAL,IND,,,359,0.23
4,Mancherial,GENERAL,11,Md.Chand Pasha,MALE,46,GENERAL,IND,,,354,0.23
4,Mancherial,GENERAL,12,Ravikanti Dasharatham,MALE,56,GENERAL,IND,,,345,0.22
4,Mancherial,GENERAL,13,Shaik Mohamed,MALE,46,GENERAL,IND,,,336,0.22
4,Mancherial,GENERAL,14,Rangu Mallesham,MALE,44,GENERAL,AIFB,,,320,0.21
5,Asifabad,ST,1,Kova Laxmi,FEMALE,45,ST,BRS,,,59094,40.35
5,Asifabad,ST,2,Atram Sakku,MALE,42,ST,INC,,,40039,27.34
5,Asifabad,ST,3,Marsukola Sarswathi,FEMALE,42,ST,TDP,,,25439,17.37
5,Asifabad,ST,4,Kotnaka Vijay Kumar,MALE,44,ST,MASP,,,7735,5.28
5,Asifabad,ST,5,Ade Leelarani,FEMALE,47,ST,IND,,,4592,3.14
5,Asifabad,ST,6,Kanaka Rambabai,FEMALE,56,ST,BSP,,,4022,2.75
5,Asifabad,ST,7,Nota,,,,NOTA,,,2833,1.93
5,Asifabad,ST,8,Pendram Gopi,MALE,48,ST,IND,,,1370,0.94
5,Asifabad,ST,9,Sidam Arju,MALE,62,ST,GGP,,,1314,0.9
6,Khanapur,ST,1,Ajmeera Rekha,FEMALE,39,ST,BRS,,,67442,49.33
6,Khanapur,ST,2,Rathod Ritesh,MALE,29,ST,TDP,,,28931,21.16
6,Khanapur,ST,3,Ajmeera Hari Naik,MALE,45,ST,INC,,,26087,19.08
6,Khanapur,ST,4,Jadhav Bhojya Naik,MALE,51,ST,IND,,,5692,4.16
6,Khanapur,ST,5,Mesram Anand Rao,MALE,32,ST,IND,,,5107,3.74
6,Khanapur,ST,6,Nota,,,,NOTA,,,2427,1.78
6,Khanapur,ST,7,Banoth Bheelsingh Naik,MALE,34,ST,RLD,,,1031,0.75
7,Adilabad,GENERAL,1,Jogu Ramanna,MALE,51,GENERAL,BRS,,,58705,40.92
7,Adilabad,GENERAL,2,Payal Shanker,MALE,42,GENERAL,BJP,,,43994,30.66
7,Adilabad,GENERAL,3,Bhargav Deshpande,MALE,27,GENERAL,INC,,,30298,21.12
7,Adilabad,GENERAL,4,Islamuddin,MALE,37,GENERAL,MASP,,,2878,2.01
7,Adilabad,GENERAL,5,Bhuma Reddy Patil,MALE,55,SC,BSP,,,1701,1.19
7,Adilabad,GENERAL,6,Lanka Raghavulu,MALE,53,GENERAL,CPM,,,1120,0.78
7,Adilabad,GENERAL,7,Nota,,,,NOTA,,,864,0.6
7,Adilabad,GENERAL,8,Shiraz Khan,FEMALE,43,GENERAL,IND,,,631,0.44
7,Adilabad,GENERAL,9,Utla Narsimlu,MALE,54,GENERAL,IND,,,565,0.39
7,Adilabad,GENERAL,10,Ss Rasheed Ul Harque,MALE,26,GENERAL,AAAP,,,485,0.34
7,Adilabad,GENERAL,11,Bejjenki Anil Kumar,MALE,37,GENERAL,YSRCP,,,449,0.31
7,Adilabad,GENERAL,12,Pandith Rao Takbide,MALE,66,GENERAL,SHS,,,427,0.3
7,Adilabad,GENERAL,13,Munigela Narsing,MALE,51,GENERAL,IND,,,427,0.3
7,Adilabad,GENERAL,14,Harish Chander,MALE,50,GENERAL,IND,,,355,0.25
7,Adilabad,GENERAL,15,Shafi Ulla Khan,MALE,44,GENERAL,WPOI,,,297,0.21
7,Adilabad,GENERAL,16,Mohd. Rafeeq,MALE,37,GENERAL,IUML,,,283,0.2
8,Boath,ST,1,Rathod Bapurao,MALE,52,ST,BRS,,,62870,45.39
8,Boath,ST,2,Jadhav Anil Kumar,MALE,41,ST,INC,,,35877,25.9
8,Boath,ST,3,Soyam Bapurao,MALE,45,ST,TDP,,,35218,25.43
8,Boath,ST,4,Nota,,,,NOTA,,,2246,1.62
8,Boath,ST,5,Gedam Tulasi Das,MALE,62,ST,YSRCP,,,1281,0.92
8,Boath,ST,6,Mesram Nanda Kishore,MALE,27,ST,RLD,,,1007,0.73
9,Nirmal,GENERAL,1,Allolla Indra Karan Reddy,MALE,65,GENERAL,BSP,,,61368,38.0
9,Nirmal,GENERAL,2,Kuchadi Sriharirao,MALE,53,GENERAL,BRS,,,52871,32.73
9,Nirmal,GENERAL,3,Alleti Maheshwar Reddy,MALE,46,GENERAL,INC,,,38951,24.12
9,Nirmal,GENERAL,4,Mirza Yaseen Baig,MALE,49,GENERAL,TDP,,,4567,2.83
9,Nirmal,GENERAL,5,Nota,,,,NOTA,,,1365,0.85
9,Nirmal,GENERAL,6,Alluri Mallareddy,MALE,55,GENERAL,YSRCP,,,946,0.59
9,Nirmal,GENERAL,7,N.T.Rajeshwar,MALE,48,SC,BMUP,,,870,0.54
9,Nirmal,GENERAL,8,Kapurapu Praveen Kumar,MALE,32,SC,IND,,,577,0.36
10,Mudhole,GENERAL,1,Gaddigari Vittal Reddy,MALE,59,GENERAL,INC,,,63322,38.88
10,Mudhole,GENERAL,2,Dr. Padakanti Ramadevi,FEMALE,52,GENERAL,BJP,,,48485,29.77
10,Mudhole,GENERAL,3,Dr.S.Venugopala Chary,MALE,54,GENERAL,BRS,,,43540,26.73
10,Mudhole,GENERAL,4,Jagme Devidas,MALE,30,SC,BSP,,,3683,2.26
10,Mudhole,GENERAL,5,Nota,,,,NOTA,,,1792,1.1
10,Mudhole,GENERAL,6,Pandit Rao Takbide,MALE,66,GENERAL,SHS,,,1086,0.67
10,Mudhole,GENERAL,7,Lalu Tatiwar,MALE,62,GENERAL,IND,,,964,0.59
11,Armur,GENERAL,1,Ashannagari Jeevan Reddy,MALE,38,GENERAL,BRS,,,67555,49.74
11,Armur,GENERAL,2,K.R.Suresh Reddy,MALE,54,GENERAL,INC,,,53591,39.46
11,Armur,GENERAL,3,Rajaram Dodolla,MALE,38,GENERAL,TDP,,,7528,5.54
11,Armur,GENERAL,4,Koppu Rajaiah,MALE,64,SC,BSP,,,1456,1.07
11,Armur,GENERAL,5,Nota,,,,NOTA,,,1445,1.06
11,Armur,GENERAL,6,Anjaiah Kondani,MALE,32,GENERAL,PPOI,,,1362,1.0
11,Armur,GENERAL,7,Laxmi Prasanna,FEMALE,25,GENERAL,IND,,,1271,0.94
11,Armur,GENERAL,8,Talari Satyam,MALE,31,SC,RPI(A),,,1135,0.84
11,Armur,GENERAL,9,Basar Sayanna,MALE,39,GENERAL,IND,,,485,0.36
12,Bodhan,GENERAL,1,Shakil,MALE,38,GENERAL,BRS,,,67427,44.02
12,Bodhan,GENERAL,2,Sudarshan Reddy Podduturi,MALE,64,GENERAL,INC,,,51543,33.65
12,Bodhan,GENERAL,3,Medapati Prakash Reddy,MALE,49,GENERAL,TDP,,,26558,17.34
12,Bodhan,GENERAL,4,Katpally Sudeep Reddy,MALE,40,GENERAL,YSRCP,,,1656,1.08
12,Bodhan,GENERAL,5,Silumula Ganesh,MALE,29,SC,BSP,,,1497,0.98
12,Bodhan,GENERAL,6,Nota,,,,NOTA,,,1397,0.91
12,Bodhan,GENERAL,7,Paniganti Rajithavani,FEMALE,40,SC,PPOI,,,1058,0.69
12,Bodhan,GENERAL,8,Satyanarayana,MALE,48,GENERAL,IND,,,641,0.42
12,Bodhan,GENERAL,9,Wajhiullah Khan M.D.,MALE,38,GENERAL,BCUF,,,400,0.26
12,Bodhan,GENERAL,10,Amarnath Babu. M,MALE,56,GENERAL,IND,,,392,0.26
12,Bodhan,GENERAL,11,Balashowri Bellamkonda,MALE,60,GENERAL,AAAP,,,310,0.2
12,Bodhan,GENERAL,12,Yarlagadda Saibaba,MALE,45,GENERAL,RSP,,,289,0.19
