seat_no,seat,reservation,rank,candidate,sex,age,category,party,votes_general,votes_postal,votes_total,pct
110,Pinapaka,ST,7,Kalthi Yerraiah,M,35,ST,IND,1013,0,1013,0.7
110,Pinapaka,ST,8,None Of The Above,,,,NOTA,861,7,868,0.6
110,Pinapaka,ST,9,Guguloth Vijaya,F,29,ST,BBKD,703,1,704,0.49
110,Pinapaka,ST,10,Komaram Rajashekar,M,38,ST,TGPJP,516,0,516,0.36
110,Pinapaka,ST,11,Thumma Nagaraju,M,26,ST,GGP,476,13,489,0.34
110,Pinapaka,ST,12,Choulam Arun Kumar,M,28,ST,IND,479,0,479,0.33
110,Pinapaka,ST,13,Kanithi Veerababu,M,32,ST,IND,431,0,431,0.3
110,Pinapaka,ST,14,Borra Raghavulu,M,46,ST,LSSP,280,0,280,0.19
110,Pinapaka,ST,15,Tejavath Naresh,M,29,ST,BMUP,236,0,236,0.16
110,Pinapaka,ST,16,Bhukya Chitti Babu,M,37,ST,PPOI,226,1,227,0.16
110,Pinapaka,ST,17,Payam Pothaiah Dora,M,47,ST,SHS,223,0,223,0.15
111,Yellandu,ST,1,Haripriya Banoth,F,33,ST,INC,69964,680,70644,42.95
111,Yellandu,ST,2,Kanakaiah Koram,M,53,ST,BRS,67330,427,67757,41.2
111,Yellandu,ST,3,Gummadi Narsaiah,M,62,ST,IND,12852,47,12899,7.84
111,Yellandu,ST,4,Yadallapalli Satyam,M,44,ST,IND,2870,1,2871,1.75
111,Yellandu,ST,5,Naaga Sravanthi Mokalla,F,27,ST,BJP,1970,5,1975,1.2
111,Yellandu,ST,6,None Of The Above,,,,NOTA,1913,2,1915,1.16
111,Yellandu,ST,7,Malotu Munna Naik,M,52,ST,IND,1488,0,1488,0.9
111,Yellandu,ST,8,Abbaiah Vooke,M,62,ST,IND,1153,3,1156,0.7
111,Yellandu,ST,9,Hanuma Mood,M,36,ST,AAAP,891,0,891,0.54
111,Yellandu,ST,10,Poleboina Muthaiah,M,52,ST,IND,800,0,800,0.49
111,Yellandu,ST,11,Mokalla Pragathi,F,25,ST,IND,601,0,601,0.37
111,Yellandu,ST,12,M. Bhanu,M,30,ST,IND,470,0,470,0.29
111,Yellandu,ST,13,Banoth Balaji Rao,M,67,ST,IND,257,3,260,0.16
111,Yellandu,ST,14,Gugulothu Ravi,M,32,ST,IND,231,4,235,0.14
111,Yellandu,ST,15,Guguloth Vinod Kumar,M,27,ST,IND,179,0,179,0.11
111,Yellandu,ST,16,Arem Subhash Chandra,M,31,ST,IND,171,0,171,0.1
111,Yellandu,ST,17,Eesam Narasimha Rao,M,42,ST,IND,158,1,159,0.1
112,Khammam,GENERAL,1,Ajay Kumar Puvvada,M,53,GEN,BRS,101516,1244,102760,49.78
112,Khammam,GENERAL,2,Nama Nageswara Rao,M,61,GEN,TDP,89369,2400,91769,44.46
112,Khammam,GENERAL,3,None Of The Above,,,,NOTA,3494,19,3513,1.7
112,Khammam,GENERAL,4,Vuppala Sarada,F,56,GEN,BJP,2300,25,2325,1.13
112,Khammam,GENERAL,5,Anwar Raice,M,45,GEN,IND,2016,0,2016,0.98
112,Khammam,GENERAL,6,Palvancha Rama Rao,M,63,GEN,BLFP,1065,26,1091,0.53
112,Khammam,GENERAL,7,Abdul Kareem Shaik,M,37,GEN,BSP,1021,2,1023,0.5
112,Khammam,GENERAL,8,Rallabandi Narsimha Chary,M,51,GEN,IND,561,1,562,0.27
112,Khammam,GENERAL,9,Kasina Anandaprasad,M,44,GEN,PPOI,384,3,387,0.19
112,Khammam,GENERAL,10,Rapolu Kiran Kumar,M,39,GEN,IND,281,1,282,0.14
112,Khammam,GENERAL,11,Sk. Jameel,M,46,GEN,IND,252,0,252,0.12
112,Khammam,GENERAL,12,Yechu Sunil,M,31,SC,IND,185,0,185,0.09
112,Khammam,GENERAL,13,Apparao Pattipati,M,43,GEN,IND,150,0,150,0.07
112,Khammam,GENERAL,14,Tumati Madhu,M,35,SC,IND,112,1,113,0.05
113,Palair,GENERAL,1,Kandala Upender Reddy,M,58,GEN,INC,88916,491,89407,46.53
113,Palair,GENERAL,2,Tummala Nageswar Rao,M,65,GEN,BRS,81449,289,81738,42.54
113,Palair,GENERAL,3,Battula Hymavathi,F,64,GEN,CPM,6760,9,6769,3.52
113,Palair,GENERAL,4,Nandigama Raj Kumar,M,36,SC,IND,6101,0,6101,3.17
113,Palair,GENERAL,5,None Of The Above,,,,NOTA,1267,4,1271,0.66
113,Palair,GENERAL,6,Sridhar Reddy Kondapalli,M,46,GEN,BJP,1167,3,1170,0.61
