seat_no,seat,reservation,electors,votes_polled,turnout_pct,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin_votes,margin_pct
1,Sirpur,GENERAL,191131,164288,85.96,Koneru Konappa,BRS,83088,Dr. Palvai Harish Babu,INC,59052,24036,14.63
2,Chennur,SC,164296,135664,82.57,Balka Suman,BRS,71980,Venkatesh Netha Borlakunta,INC,43848,28132,20.74
3,Bellampalli,SC,153016,127501,83.33,Durgam Chinnaiah,BRS,55026,Gaddam Vinod,BSP,43750,11276,8.84
4,Mancherial,GENERAL,227232,166724,73.37,Nadipelli Diwakar Rao,BRS,75360,Kokkirala Premsagar Rao,INC,70512,4848,2.91
5,Asifabad,ST,186390,160790,86.27,Athram Sakku,INC,65788,Kova Laxmi,BRS,65617,171,0.11
6,Khanapur,ST,188158,152156,80.87,Ajmera Rekha,BRS,67138,Ramesh Rathod,INC,46428,20710,13.61
7,Adilabad,GENERAL,201294,165793,82.36,Jogu Ramanna,BRS,74050,Payal Shanker,BJP,47444,26606,16.05
8,Boath,ST,183315,156762,85.52,Bapu Rao Rathod,BRS,61125,Bapu Rao Soyam,INC,54639,6486,4.14
9,Nirmal,GENERAL,216935,173084,79.79,Allola Indrakaran Reddy,BRS,79985,Alleti Maheshwar Reddy,INC,70714,9271,5.36
10,Mudhole,GENERAL,216939,183249,84.47,Gaddigari Vittal Reddy,BRS,83703,Padakanti Ramadevi,BJP,40339,43364,23.66
11,Armur,GENERAL,177537,140397,79.08,Ashannagari Jeevan Reddy,BRS,72125,Akula Lalitha,INC,43330,28795,20.51
12,Bodhan,GENERAL,195323,158870,81.34,Shakil Aamir Mohammed,BRS,74895,Sudarshan Reddy Podduturi,INC,66794,8101,5.1
13,Jukkal,SC,177085,151522,85.56,Hanmanth Shinde,BRS,77584,Gangaram Soudagar,INC,41959,35625,23.51
14,Banswada,GENERAL,173356,145797,84.1,Pocharam Srinivas Reddy (Parige),BRS,77943,Kasula Balaraju,INC,59458,18485,12.68
