seat_no,seat,reservation,rank,candidate,sex,age,category,party,votes_general,votes_postal,votes_total,pct
2,Chennur,SC,7,Dasarapu Srinivas,MALE,48,SC,BSP,1384,14,1398,0.92
2,Chennur,SC,8,Nandipati Raju,MALE,35,SC,DHRMSMJP,946,2,948,0.62
2,Chennur,SC,9,Mothe Rajalingu,MALE,44,SC,SP(I),833,4,837,0.55
2,Chennur,SC,10,Durgam Sammaiah,MALE,35,SC,IND,831,1,832,0.55
2,Chennur,SC,11,Sogala Sanjeev,MALE,44,SC,AIFB,579,0,579,0.38
2,Chennur,SC,12,Vadlakonda Rajam,MALE,51,SC,TLGNARJYS,405,0,405,0.27
2,Chennur,SC,13,Moyyi Venugopal,MALE,54,SC,BMUP,336,1,337,0.22
2,Chennur,SC,14,Mahesh Salluri,MALE,28,SC,PS,303,1,304,0.2
2,Chennur,SC,15,Mulkalla Rajendra Prasad,MALE,38,SC,AIMEP,246,0,246,0.16
3,Bellampalli,SC,1,Gaddam Vinod,MALE,67,SC,INC,81442,775,82217,57.96
3,Bellampalli,SC,2,Durgam Chinnaiah,MALE,52,SC,BRS,45163,176,45339,31.96
3,Bellampalli,SC,3,Amurajula Sridevi,FEMALE,51,SC,BJP,3751,61,3812,2.69
3,Bellampalli,SC,4,Dagam Srinivas,MALE,44,SC,IND,2357,0,2357,1.66
3,Bellampalli,SC,5,Nota,,,,NOTA,2168,11,2179,1.54
3,Bellampalli,SC,6,Durge Eshwar,MALE,38,SC,IND,1512,0,1512,1.07
3,Bellampalli,SC,7,Srinivas Ramtenki,MALE,28,SC,RPI,1286,3,1289,0.91
3,Bellampalli,SC,8,Narsaiah Jadi,MALE,52,SC,BSP,1169,14,1183,0.83
3,Bellampalli,SC,9,Ambala Mahendar,MALE,45,SC,IND,606,0,606,0.43
3,Bellampalli,SC,10,Ramagiri Sripathi,MALE,39,SC,BCYP,387,0,387,0.27
3,Bellampalli,SC,11,Perugu Ravinder,MALE,42,SC,SP(I),339,1,340,0.24
3,Bellampalli,SC,12,Jangapelly Ramaswamy,MALE,51,SC,DHRMSMJP,258,0,258,0.18
3,Bellampalli,SC,13,Padma Yedla,FEMALE,43,SC,BMUP,197,1,198,0.14
3,Bellampalli,SC,14,Gogarla Shankar,MALE,51,SC,CPIM,186,0,186,0.13
4,Mancherial,GENERAL,1,Kokkirala Premsagar Rao,MALE,63,GENERAL,INC,104260,1685,105945,55.03
4,Mancherial,GENERAL,2,Raghunath Verabelli,MALE,51,GENERAL,BJP,39370,459,39829,20.69
4,Mancherial,GENERAL,3,Diwakar Rao Nadipelli,MALE,71,GENERAL,BRS,37734,255,37989,19.73
4,Mancherial,GENERAL,4,Soulla Sandeep,MALE,35,GENERAL,IND,1889,1,1890,0.98
4,Mancherial,GENERAL,5,Thota Srinivas,MALE,41,GENERAL,BSP,1259,21,1280,0.66
4,Mancherial,GENERAL,6,Pranay Gangareddy,MALE,25,GENERAL,IND,1054,0,1054,0.55
4,Mancherial,GENERAL,7,Nota,,,,NOTA,926,16,942,0.49
4,Mancherial,GENERAL,8,Hanumandla Shankar,MALE,57,GENERAL,IND,739,1,740,0.38
4,Mancherial,GENERAL,9,Naheem Pasha Md,MALE,32,GENERAL,IND,630,6,636,0.33
4,Mancherial,GENERAL,10,Rangu Mallesham,MALE,53,GENERAL,IND,514,1,515,0.27
4,Mancherial,GENERAL,11,Talluri Venkateswarlu,MALE,48,GENERAL,IND,332,2,334,0.17
4,Mancherial,GENERAL,12,Md. Ifthakar Ahmed,MALE,57,GENERAL,IND,294,1,295,0.15
4,Mancherial,GENERAL,13,Adunuri Ramesh,MALE,48,GENERAL,DHRMSMJP,244,2,246,0.13
4,Mancherial,GENERAL,14,M. Krishna,MALE,48,GENERAL,IND,218,0,218,0.11
4,Mancherial,GENERAL,15,Ande Manga,FEMALE,44,GENERAL,IND,169,0,169,0.09
4,Mancherial,GENERAL,16,Gorlapally Suresh,MALE,29,SC,VTRP,161,3,164,0.09
4,Mancherial,GENERAL,17,Cherukuri Shanthi Sree,FEMALE,48,SC,BARESP,136,0,136,0.07
4,Mancherial,GENERAL,18,Dommati Ravi Kumar,MALE,39,GENERAL,AIFB,128,0,128,0.07
5,Asifabad,ST,1,Kova Laxmi,FEMALE,53,ST,BRS,82705,347,83052,44.97
5,Asifabad,ST,2,Ajmera Shyam,MALE,53,ST,INC,59629,613,60242,32.62
5,Asifabad,ST,3,Kotnaka Vijay Kumar,MALE,40,ST,IND,16382,87,16469,8.92
5,Asifabad,ST,4,Ajmeera Athmarao,MALE,38,ST,BJP,6562,51,6613,3.58
5,Asifabad,ST,5,Kanaka Prabhakar,MALE,46,ST,BSP,3528,16,3544,1.92
5,Asifabad,ST,6,Ajmera Ram Nayak,MALE,46,ST,PRSHP,2562,5,2567,1.39
5,Asifabad,ST,7,Sidam Anniga,MALE,29,ST,IND,2089,4,2093,1.13
5,Asifabad,ST,8,Kotnaka Kishanrao,MALE,45,ST,IND,1533,1,1534,0.83
5,Asifabad,ST,9,Nota,,,,NOTA,1507,9,1516,0.82
5,Asifabad,ST,10,Mesram Naveen Kumar,MALE,32,ST,IND,1479,2,1481,0.8
5,Asifabad,ST,11,Vasanth Singh Jadhav,MALE,61,ST,IND,987,2,989,0.54
5,Asifabad,ST,12,Pusam Sonerao,MALE,26,ST,IND,847,0,847,0.46
5,Asifabad,ST,13,Rebbana Nagaraju,MALE,37,ST,IND,838,0,838,0.45
5,Asifabad,ST,14,Athram Govardhan,MALE,66,ST,GGP,750,9,759,0.41
5,Asifabad,ST,15,Bhukya Pallavi,FEMALE,40,ST,BMUP,663,1,664,0.36
5,Asifabad,ST,16,Shidam Dharmu,MALE,60,ST,IND,587,0,587,0.32
5,Asifabad,ST,17,Govind Bukya,MALE,37,ST,JAC,463,0,463,0.25
5,Asifabad,ST,18,Nunavat Tirupati,MALE,34,ST,VTRP,408,0,408,0.22
6,Khanapur,ST,1,Vedma. Bhojju,MALE,37,ST,INC,58210,660,58870,33.79
6,Khanapur,ST,2,Johnson Naik Bhukya,MALE,47,ST,BRS,53921,247,54168,31.09
6,Khanapur,ST,3,Ramesh Rathod,MALE,57,ST,BJP,51518,880,52398,30.07
6,Khanapur,ST,4,Nota,,,,NOTA,2096,18,2114,1.21
6,Khanapur,ST,5,Bansilal Rathod,MALE,38,ST,BSP,1688,18,1706,0.98
6,Khanapur,ST,6,Nethavath Rajender,MALE,32,ST,IND,1293,1,1294,0.74
6,Khanapur,ST,7,Athram Ravindhar,MALE,41,ST,IND,1245,0,1245,0.71
6,Khanapur,ST,8,Asha Reddy Bontha,MALE,55,ST,GGP,1068,0,1068,0.61
6,Khanapur,ST,9,Mohan,MALE,63,ST,IND,573,0,573,0.33
6,Khanapur,ST,10,Pendoor Priyanka,FEMALE,33,ST,CPIM,363,1,364,0.21
6,Khanapur,ST,11,Jadhav Prabas,MALE,33,ST,DHRMSMJP,265,2,267,0.15
6,Khanapur,ST,12,Kuthati Vijaya,FEMALE,44,ST,PPOI,172,0,172,0.1
7,Adilabad,GENERAL,1,Payal Shanker,MALE,52,GENERAL,BJP,66468,1140,67608,35.84
7,Adilabad,GENERAL,2,Jogu Ramanna,MALE,60,GENERAL,BRS,60321,595,60916,32.29
7,Adilabad,GENERAL,3,Kandi Srinivasa Reddy,MALE,40,GENERAL,INC,46763,961,47724,25.3
7,Adilabad,GENERAL,4,Alluri Sanjeeva Reddy,MALE,65,GENERAL,IND,1936,10,1946,1.03
7,Adilabad,GENERAL,5,Aslam,MALE,36,GENERAL,IND,1390,1,1391,0.74
7,Adilabad,GENERAL,6,Kalamadugu Vijay Kumar,MALE,55,GENERAL,IND,1171,2,1173,0.62
7,Adilabad,GENERAL,7,Taksande Dharmapal,MALE,37,SC,IND,1057,1,1058,0.56
7,Adilabad,GENERAL,8,Gedam Janardhan,MALE,53,ST,IND,943,2,945,0.5
7,Adilabad,GENERAL,9,Takbide Pandit Rao,MALE,75,GENERAL,IND,878,0,878,0.47
7,Adilabad,GENERAL,10,Aggimalla Ganesh,MALE,37,SC,DHRMSMJP,791,10,801,0.42
7,Adilabad,GENERAL,11,Bhupender,MALE,26,GENERAL,AODRP,761,8,769,0.41
7,Adilabad,GENERAL,12,Nota,,,,NOTA,582,10,592,0.31
7,Adilabad,GENERAL,13,Annam Prem Devender,MALE,47,GENERAL,IND,549,1,550,0.29
7,Adilabad,GENERAL,14,Voter Car Suresh,MALE,36,SC,YGATLSIP,290,4,294,0.16
7,Adilabad,GENERAL,15,Kema Srinivas,MALE,34,GENERAL,PEP,234,6,240,0.13
7,Adilabad,GENERAL,16,Suryavamshi Vidhyasagar,MALE,39,SC,BMUP,229,2,231,0.12
7,Adilabad,GENERAL,17,Kamle Bhagavan,MALE,34,SC,RPI,225,6,231,0.12
7,Adilabad,GENERAL,18,Naganna Galipelli,MALE,33,SC,IND,174,1,175,0.09
7,Adilabad,GENERAL,19,Gudepelly Gnanesh,MALE,27,GENERAL,BCYP,162,4,166,0.09
7,Adilabad,GENERAL,20,Thumram Chandra Shav,MALE,38,ST,GGP,163,0,163,0.09
7,Adilabad,GENERAL,21,Vagmare Abishek,MALE,43,SC,IND,163,0,163,0.09
7,Adilabad,GENERAL,22,Bedodkar Ganesh,MALE,35,GENERAL,IND,154,3,157,0.08
7,Adilabad,GENERAL,23,Subash Navate,MALE,49,GENERAL,IND,149,1,150,0.08
7,Adilabad,GENERAL,24,Banu Rajeshwar Rao,MALE,64,GENERAL,IND,122,1,123,0.07
7,Adilabad,GENERAL,25,Elcharwar Sathyanarayana,MALE,35,GENERAL,BALP,117,0,117,0.06
7,Adilabad,GENERAL,26,Munde Praveen Kumar,MALE,25,GENERAL,IND,91,0,91,0.05
8,Boath,ST,1,Anil Jadhav,MALE,49,ST,BRS,76297,495,76792,44.13
8,Boath,ST,2,Soyam Bapurao,MALE,54,ST,BJP,53274,718,53992,31.03
8,Boath,ST,3,Aade Gajender,MALE,44,ST,INC,32426,371,32797,18.85
8,Boath,ST,4,Nota,,,,NOTA,2556,9,2565,1.47
8,Boath,ST,5,Mesram Jangubapu,MALE,34,ST,BSP,2044,27,2071,1.19
8,Boath,ST,6,Uhikea Heeraji,MALE,45,ST,RaJPa,1388,3,1391,0.8
8,Boath,ST,7,Todasam Dhanalaxmi,FEMALE,40,ST,IND,1231,4,1235,0.71
8,Boath,ST,8,Uikke Umesh,MALE,33,ST,DHRMSMJP,1011,6,1017,0.58
8,Boath,ST,9,Jadhav Bhojya Naik,MALE,51,ST,IND,878,0,878,0.5
8,Boath,ST,10,Ade Sunil Kumar,MALE,33,ST,BCYP,677,5,682,0.39
8,Boath,ST,11,Badu Naitham,MALE,42,ST,GGP,596,2,598,0.34
9,Nirmal,GENERAL,1,Alleti Maheshwar Reddy,MALE,54,GENERAL,BJP,104685,1715,106400,54.03
9,Nirmal,GENERAL,2,Allola Indrakaran Reddy,MALE,74,GENERAL,BRS,55321,376,55697,28.28
9,Nirmal,GENERAL,3,K. Srihari Rao,MALE,62,GENERAL,INC,28254,388,28642,14.54
9,Nirmal,GENERAL,4,Nota,,,,NOTA,1522,4,1526,0.77
9,Nirmal,GENERAL,5,Sudharshan,MALE,47,ST,IND,1156,5,1161,0.59
9,Nirmal,GENERAL,6,Devatha Jagan Mohan,MALE,48,SC,BSP,945,14,959,0.49
9,Nirmal,GENERAL,7,Mallesh Maddikunta,MALE,39,ST,IND,835,1,836,0.42
9,Nirmal,GENERAL,8,Manthena Indrakaran Reddy,MALE,46,GENERAL,AODRP,408,1,409,0.21
9,Nirmal,GENERAL,9,Gorre Linganna,MALE,61,SC,BMUP,333,2,335,0.17
9,Nirmal,GENERAL,10,Burka Rajender,MALE,34,SC,IND,280,6,286,0.15
9,Nirmal,GENERAL,11,Devolla Raju,MALE,30,GENERAL,IND,236,3,239,0.12
9,Nirmal,GENERAL,12,Ravindhar Ramagiri,MALE,37,SC,DHRMSMJP,171,4,175,0.09
9,Nirmal,GENERAL,13,Parikipandla Swadesh,MALE,40,GENERAL,AIFB,138,0,138,0.07
9,Nirmal,GENERAL,14,Khaja Nayeem Uddin Mohammad,MALE,57,GENERAL,IND,128,0,128,0.06
10,Mudhole,GENERAL,1,Ram Rao Pawar,MALE,69,GENERAL,BJP,97501,751,98252,48.59
10,Mudhole,GENERAL,2,Gaddigari Vittal Reddy,MALE,69,GENERAL,BRS,73918,335,74253,36.72
10,Mudhole,GENERAL,3,Bhosle Narayan Rao Patil,MALE,64,GENERAL,INC,15489,99,15588,7.71
10,Mudhole,GENERAL,4,Manmohan Jadhav,MALE,31,GENERAL,IND,4938,1,4939,2.44
10,Mudhole,GENERAL,5,Vinod Kumar Sharadarao,MALE,44,SC,BSP,3257,35,3292,1.63
10,Mudhole,GENERAL,6,Nota,,,,NOTA,1903,3,1906,0.94
10,Mudhole,GENERAL,7,Sanju Hemle,MALE,47,SC,IND,1442,0,1442,0.71
10,Mudhole,GENERAL,8,Potharaju Sudhakar,MALE,37,GENERAL,IND,560,0,560,0.28
10,Mudhole,GENERAL,9,Jadhav Datturam,MALE,33,GENERAL,IND,470,1,471,0.23
10,Mudhole,GENERAL,10,Devidas Hasde,MALE,46,SC,RPI,294,2,296,0.15
10,Mudhole,GENERAL,11,Kasaram Raju,MALE,30,SC,DHRMSMJP,291,0,291,0.14
10,Mudhole,GENERAL,12,Jadhav Devidas,MALE,41,ST,IND,283,0,283,0.14
10,Mudhole,GENERAL,13,Elugudar Praveen,MALE,30,GENERAL,IND,252,0,252,0.12
10,Mudhole,GENERAL,14,Baddam Bhoja Reddy,MALE,52,GENERAL,AIFB,217,1,218,0.11
10,Mudhole,GENERAL,15,Gorekar Vijay,MALE,42,SC,IPBP,158,1,159,0.08
11,Armur,GENERAL,1,Paidi Rakesh Reddy,MALE,56,GENERAL,BJP,71651,1007,72658,44.9
11,Armur,GENERAL,2,Prodduturi Vinay Kumar Reddy,MALE,49,GENERAL,INC,42349,640,42989,26.56
11,Armur,GENERAL,3,Ashannagari Jeevan Reddy,MALE,47,GENERAL,BRS,39051,344,39395,24.34
11,Armur,GENERAL,4,Nota,,,,NOTA,1493,6,1499,0.93
11,Armur,GENERAL,5,Cheruku Prem Kumar,MALE,43,SC,DHRMSMJP,1451,26,1477,0.91
11,Armur,GENERAL,6,Gandikota Rajanna,MALE,49,GENERAL,BSP,1349,41,1390,0.86
11,Armur,GENERAL,7,Nyalapatla Pranay Goud,MALE,25,GENERAL,IND,943,2,945,0.58
11,Armur,GENERAL,8,Gangadhar Myaka,MALE,65,GENERAL,IND,460,2,462,0.29
11,Armur,GENERAL,9,Sunke.srinivas,MALE,49,GENERAL,IND,364,4,368,0.23
11,Armur,GENERAL,10,Kotagiri Srinivas,MALE,56,GENERAL,IND,195,5,200,0.12
11,Armur,GENERAL,11,Sk Majid,MALE,33,GENERAL,MBT,117,0,117,0.07
11,Armur,GENERAL,12,Pallavula Rama Krishna Reddy,MALE,37,GENERAL,BCYP,112,2,114,0.07
11,Armur,GENERAL,13,Tallapally Shekaraiah,MALE,29,GENERAL,VTRP,106,0,106,0.07
11,Armur,GENERAL,14,Ruthe Ravi,MALE,33,GENERAL,BALP,104,2,106,0.07
12,Bodhan,GENERAL,1,P. Sudarshan Reddy,MALE,73,GENERAL,INC,66433,530,66963,38.95
12,Bodhan,GENERAL,2,Mohammed Shakil Aamir,MALE,47,GENERAL,BRS,63664,237,63901,37.17
12,Bodhan,GENERAL,3,Mohan Reddy Vaddi,MALE,56,GENERAL,BJP,33234,321,33555,19.52
12,Bodhan,GENERAL,4,Hanmaji Bhoopal Reddy,MALE,34,GENERAL,AODRP,1590,1,1591,0.93
12,Bodhan,GENERAL,5,Amarnath Babu. M,MALE,65,GENERAL,BSP,1407,18,1425,0.83
12,Bodhan,GENERAL,6,Nota,,,,NOTA,867,5,872,0.51
12,Bodhan,GENERAL,7,D. Nagaraj,MALE,40,GENERAL,AIFB,662,1,663,0.39
12,Bodhan,GENERAL,8,Syed Asgar,MALE,46,GENERAL,IND,634,2,636,0.37
12,Bodhan,GENERAL,9,A. Sudarshan Raj,MALE,61,SC,IND,523,0,523,0.3
12,Bodhan,GENERAL,10,Shek Jaleel,MALE,44,GENERAL,IND,517,3,520,0.3
12,Bodhan,GENERAL,11,Mosin,MALE,35,GENERAL,MCPI,477,4,481,0.28
12,Bodhan,GENERAL,12,Junaid Ahmed Khaleel,MALE,40,GENERAL,IND,298,5,303,0.18
12,Bodhan,GENERAL,13,Sharjeel Parvez,MALE,49,GENERAL,AIMEIEM,201,1,202,0.12
12,Bodhan,GENERAL,14,Murali Sayam,MALE,31,SC,DHRMSMJP,171,0,171,0.1
12,Bodhan,GENERAL,15,Rajitha Vani,FEMALE,50,SC,PPOI,123,0,123,0.07
13,Jukkal,SC,1,Laxmi Kantha Rao Thota,MALE,53,SC,INC,64116,373,64489,39.19
13,Jukkal,SC,2,Hanmant Shinde,MALE,57,SC,BRS,63127,210,63337,38.49
13,Jukkal,SC,3,Aruna Thara T,FEMALE,50,SC,BJP,28231,206,28437,17.28
13,Jukkal,SC,4,Ekambekar Pragna Kumar,MALE,49,SC,BSP,1790,19,1809,1.1
13,Jukkal,SC,5,G. Laxmi,FEMALE,32,SC,IND,1038,0,1038,0.63
13,Jukkal,SC,6,Gama Sanjeev,MALE,30,SC,IND,962,3,965,0.59
13,Jukkal,SC,7,Gaikwad Prakash,MALE,62,SC,IND,780,0,780,0.47
13,Jukkal,SC,8,Kandarpally Kashinath,MALE,28,SC,BMUP,599,0,599,0.36
13,Jukkal,SC,9,Vagmare Gangadhar,MALE,44,SC,NRCP,511,0,511,0.31
13,Jukkal,SC,10,Nota,,,,NOTA,469,0,469,0.29
13,Jukkal,SC,11,Jupaka Shyamala,FEMALE,33,SC,IND,463,0,463,0.28
13,Jukkal,SC,12,Gaini Prem Kumar,MALE,39,SC,IND,396,0,396,0.24
13,Jukkal,SC,13,Gattugalla Vittal,MALE,28,SC,IND,340,1,341,0.21
13,Jukkal,SC,14,Anil Kumar Buddi,MALE,32,SC,IND,204,0,204,0.12
13,Jukkal,SC,15,Bhoomaiah Ponagantiwari,MALE,36,SC,DHRMSMJP,197,3,200,0.12
13,Jukkal,SC,16,Bogudameeda Sailu,MALE,51,SC,TLGNARJYS,186,1,187,0.11
13,Jukkal,SC,17,Gajge Raju,MALE,27,SC,IPBP,162,0,162,0.1
13,Jukkal,SC,18,Baabu. R,MALE,38,SC,BAHUBP,152,0,152,0.09
14,Banswada,GENERAL,1,Srinivas Reddy Parige (pocharam),MALE,74,GENERAL,BRS,75694,584,76278,47.65
14,Banswada,GENERAL,2,Eanugu Ravinder Reddy,MALE,58,GENERAL,INC,52377,437,52814,32.99
14,Banswada,GENERAL,3,Laxmi Narayana Yendala,MALE,60,GENERAL,BJP,23334,351,23685,14.8
14,Banswada,GENERAL,4,Putta Bhaskar,MALE,31,GENERAL,IND,3657,14,3671,2.29
14,Banswada,GENERAL,5,Neeradi Eshwar,MALE,43,SC,BSP,1413,22,1435,0.9
14,Banswada,GENERAL,6,Nota,,,,NOTA,1009,3,1012,0.63
14,Banswada,GENERAL,7,Srikanth Tota,MALE,45,GENERAL,DHRMSMJP,838,5,843,0.53
14,Banswada,GENERAL,8,Subhash Deme,MALE,59,GENERAL,IND,339,2,341,0.21
15,Yellareddy,GENERAL,1,Madan Mohan Rao. K,MALE,54,GENERAL,INC,86276,713,86989,47.07
15,Yellareddy,GENERAL,2,Surendar Jajala,MALE,50,GENERAL,BRS,62655,333,62988,34.08
15,Yellareddy,GENERAL,3,Banswada Subhash Reddy,MALE,60,GENERAL,BJP,26709,291,27000,14.61
15,Yellareddy,GENERAL,4,Jamuna Rathla,FEMALE,47,ST,BSP,1955,18,1973,1.07
15,Yellareddy,GENERAL,5,Nota,,,,NOTA,1284,16,1300,0.7
15,Yellareddy,GENERAL,6,Shambugalla Laxmaiah,MALE,40,SC,DHRMSMJP,886,8,894,0.48
15,Yellareddy,GENERAL,7,Gurrapu Peddakolla Jai Kumar,MALE,30,GENERAL,BCYP,866,1,867,0.47
15,Yellareddy,GENERAL,8,Amar Singh Baman,MALE,43,GENERAL,IND,736,0,736,0.4
15,Yellareddy,GENERAL,9,Mudricha Subhash,MALE,29,ST,GNASURKP,676,5,681,0.37
15,Yellareddy,GENERAL,10,Myathari Sanjeevulu,MALE,27,SC,IND,551,1,552,0.3
15,Yellareddy,GENERAL,11,Balraju Talari,MALE,42,SC,PRSHP,459,0,459,0.25
15,Yellareddy,GENERAL,12,Srinivas Badhavath,MALE,33,ST,VTRP,361,0,361,0.2
16,Kamareddy,GENERAL,1,Katipally Venkata Ramana Reddy,MALE,53,GENERAL,BJP,65395,1257,66652,34.55
16,Kamareddy,GENERAL,2,Kalvakuntla Chandrashekar Rao,MALE,69,GENERAL,BRS,59633,278,59911,31.06
16,Kamareddy,GENERAL,3,Anumula Revanth Reddy,MALE,56,GENERAL,INC,54413,503,54916,28.47
16,Kamareddy,GENERAL,4,Ravi Nayak Bhukya,MALE,36,ST,IND,1823,0,1823,0.95
16,Kamareddy,GENERAL,5,Udthawar Suresh Goud,MALE,48,GENERAL,BSP,1184,17,1201,0.62
16,Kamareddy,GENERAL,6,Rajagiri Santhosh Reddy,MALE,27,GENERAL,IND,736,0,736,0.38
16,Kamareddy,GENERAL,7,Akula Hareesh,MALE,28,GENERAL,IND,534,0,534,0.28
16,Kamareddy,GENERAL,8,Akula Hanmandlu,MALE,50,GENERAL,PRJSNP,484,0,484,0.25
16,Kamareddy,GENERAL,9,Nota,,,,NOTA,467,7,474,0.25
16,Kamareddy,GENERAL,10,Arrolla Naresh,MALE,29,GENERAL,IND,403,0,403,0.21
16,Kamareddy,GENERAL,11,Siddiramulu Sirigadha,MALE,51,GENERAL,BLFP,339,1,340,0.18
16,Kamareddy,GENERAL,12,Rupavath Kondaiah,MALE,38,ST,IND,323,0,323,0.17
16,Kamareddy,GENERAL,13,Bodasu Narsimlu,MALE,37,GENERAL,IND,323,0,323,0.17
16,Kamareddy,GENERAL,14,Mohammad Taher Bin Ahmed,MALE,37,GENERAL,IND,319,1,320,0.17
16,Kamareddy,GENERAL,15,Dandu Dhanunjay,MALE,29,GENERAL,URTP,308,0,308,0.16
16,Kamareddy,GENERAL,16,Kante Sayanna,MALE,45,GENERAL,IND,300,0,300,0.16
16,Kamareddy,GENERAL,17,Ugrawai Boleshwer,MALE,37,SC,DHRMSMJP,287,11,298,0.15
16,Kamareddy,GENERAL,18,Mohammed Arif,MALE,47,GENERAL,RPI,285,0,285,0.15
16,Kamareddy,GENERAL,19,Kotagiri Srinivas,MALE,56,GENERAL,YGATLSIP,248,1,249,0.13
16,Kamareddy,GENERAL,20,Barigela Shiva,MALE,31,SC,IND,249,0,249,0.13
16,Kamareddy,GENERAL,21,Madishetty Thirupathi,MALE,39,GENERAL,IND,248,0,248,0.13
16,Kamareddy,GENERAL,22,Gabbula Nagendar,MALE,54,GENERAL,IND,236,0,236,0.12
16,Kamareddy,GENERAL,23,Pampari Narsimha Narender,MALE,45,GENERAL,RDHP,216,0,216,0.11
16,Kamareddy,GENERAL,24,Chevula Parshuramulu,MALE,32,GENERAL,IND,203,0,203,0.11
16,Kamareddy,GENERAL,25,Hassan Shaik,MALE,35,GENERAL,IND,186,0,186,0.1
16,Kamareddy,GENERAL,26,Kunta Ravi,MALE,31,GENERAL,IND,167,0,167,0.09
16,Kamareddy,GENERAL,27,Jukanti Anjal Reddy,MALE,45,GENERAL,IND,157,0,157,0.08
16,Kamareddy,GENERAL,28,Baabu R,MALE,38,GENERAL,BUJNBHRTP,151,0,151,0.08
16,Kamareddy,GENERAL,29,Bhargavi Mangilipally,FEMALE,40,GENERAL,IND,144,0,144,0.07
16,Kamareddy,GENERAL,30,Dodle Rajender,MALE,40,GENERAL,IND,143,0,143,0.07
16,Kamareddy,GENERAL,31,Kanyaka Prasanna.s,FEMALE,61,GENERAL,BMUP,126,0,126,0.07
16,Kamareddy,GENERAL,32,Katikam Sanga Reddy,MALE,42,GENERAL,IND,120,0,120,0.06
16,Kamareddy,GENERAL,33,Mohammed Khaleelullah,MALE,38,GENERAL,IND,111,1,112,0.06
16,Kamareddy,GENERAL,34,Nila Nagaraju,MALE,34,GENERAL,IND,92,1,93,0.05
16,Kamareddy,GENERAL,35,Venkanna Gugulothu,MALE,40,ST,IND,89,0,89,0.05
16,Kamareddy,GENERAL,36,Kanuganti Raju,MALE,57,GENERAL,AIFB,84,0,84,0.04
16,Kamareddy,GENERAL,37,B.b.naik,MALE,48,ST,IND,81,0,81,0.04
16,Kamareddy,GENERAL,38,Banthilal Manja,MALE,46,ST,IND,78,0,78,0.04
16,Kamareddy,GENERAL,39,Shaik Abdul Wahed,MALE,41,GENERAL,IND,64,0,64,0.03
16,Kamareddy,GENERAL,40,Chandra Sekhar Chalika,MALE,43,GENERAL,IND,62,0,62,0.03
17,Nizamabad (Urban),GENERAL,1,Dhanpal Suryanarayana,MALE,65,GENERAL,BJP,73724,1516,75240,40.82
17,Nizamabad (Urban),GENERAL,2,Mohammed Ali Shabbir,MALE,65,GENERAL,INC,59104,749,59853,32.47
17,Nizamabad (Urban),GENERAL,3,Ganesh Bigala,MALE,54,GENERAL,BRS,44598,231,44829,24.32
17,Nizamabad (Urban),GENERAL,4,Nota,,,,NOTA,531,7,538,0.29
17,Nizamabad (Urban),GENERAL,5,Nalluri Rajesh,MALE,38,GENERAL,IND,511,1,512,0.28
17,Nizamabad (Urban),GENERAL,6,Shaik Imran,MALE,30,GENERAL,BSP,473,10,483,0.26
