seat_no,seat,reservation,rank,candidate,sex,age,category,party,votes_general,votes_postal,votes_total,pct
1,Sirpur,GENERAL,1,Dr.palvai Harish Babu,MALE,44,GENERAL,BJP,63302,400,63702,34.09
1,Sirpur,GENERAL,2,Koneru Konappa,MALE,69,GENERAL,BRS,60379,235,60614,32.43
1,Sirpur,GENERAL,3,R.s. Praveen Kumar,MALE,56,GENERAL,BSP,44151,495,44646,23.89
1,Sirpur,GENERAL,4,Rraavi Srinwass,MALE,49,GENERAL,INC,8406,21,8427,4.51
1,Sirpur,GENERAL,5,Nota,,,,NOTA,2193,3,2196,1.18
1,Sirpur,GENERAL,6,Yelumule Manohar,MALE,29,GENERAL,IND,1812,1,1813,0.97
1,Sirpur,GENERAL,7,Dr.deshagani Sambashiva Goud,MALE,45,GENERAL,IND,1324,0,1324,0.71
1,Sirpur,GENERAL,8,Dasari Venkatesh,MALE,43,GENERAL,IND,1300,1,1301,0.7
1,Sirpur,GENERAL,9,Ramtenki Ajay Kumar,MALE,41,SC,PRCP,1084,1,1085,0.58
1,Sirpur,GENERAL,10,Kamra Nagesh,MALE,33,SC,IPBP,626,1,627,0.34
1,Sirpur,GENERAL,11,Dongri Praveen Kumar,MALE,33,SC,AIFB,358,2,360,0.19
1,Sirpur,GENERAL,12,Parchaki Keshav Rao,MALE,50,ST,GGP,305,0,305,0.16
1,Sirpur,GENERAL,13,Gamtidas Khobragade,MALE,51,SC,NIP,246,0,246,0.13
1,Sirpur,GENERAL,14,Jadi. Deepak,MALE,39,SC,RPI,233,1,234,0.13
2,Chennur,SC,1,Vivek Venkat Swamy,MALE,66,SC,INC,86427,1114,87541,57.51
2,Chennur,SC,2,Balka Suman,MALE,40,SC,BRS,49809,217,50026,32.86
2,Chennur,SC,3,Durgam Ashok,MALE,48,SC,BJP,3291,84,3375,2.22
2,Chennur,SC,4,Thungapindi Ramesh,MALE,45,SC,IND,2165,1,2166,1.42
2,Chennur,SC,5,Nota,,,,NOTA,1787,5,1792,1.18
2,Chennur,SC,6,Asampelly Sampath Kumar,MALE,31,SC,IND,1444,0,1444,0.95
